CSV_VERSION=1.3
#Comment:-do not change matrix position or remove CSV_VERSION:
ID  ,PRODID             ,PARTNAME                   ,BOARDNAME                                  ,SHORTNAME  ,ZYNQFLASHTYP         ,FPGAFLASHTYP                       ,Note
#1   ,TE0803-ES1         ,xczu3eg-sfvc784-1-i-es1    ,trenz.biz:te0803_es1:part0:1.0             ,es1        ,qspi_dual_parallel   ,mt25qu256-qspi-x8-dual_parallel    ,PCB:1|B:1|I:1|P:1 |R:2GB | not supported by Xilinx Vivado 2018.2 and newer
#2   ,TE0803-ES1         ,xczu3eg-sfvc784-1-i-es1    ,trenz.biz:te0803_es1_tebf0808:part0:2.0    ,es1_sk     ,qspi_dual_parallel   ,mt25qu256-qspi-x8-dual_parallel    ,PCB:1|B:1|I:1|P:1a|R:2GB | not supported by Xilinx Vivado 2018.2 and newer
#3   ,TE0803-01-02EG-1E  ,xczu2eg-sfvc784-1-e        ,trenz.biz:te0803_2eg_1e:part0:1.0          ,2eg        ,qspi_dual_parallel   ,mt25qu256-qspi-x8-dual_parallel    ,PCB:1|B:1|I:1|P:2 |R:2GB
#4   ,TE0803-01-02EG-1E  ,xczu2eg-sfvc784-1-e        ,trenz.biz:te0803_2eg_1e_tebf0808:part0:2.0 ,2eg_sk     ,qspi_dual_parallel   ,mt25qu256-qspi-x8-dual_parallel    ,PCB:1|B:1|I:1|P:2a|R:2GB
#5   ,TE0803-01-02CG-1E  ,xczu2cg-sfvc784-1-e        ,trenz.biz:te0803_2cg_1e:part0:1.0          ,2cg        ,qspi_dual_parallel   ,mt25qu256-qspi-x8-dual_parallel    ,PCB:1|B:1|I:1|P:3 |R:2GB
#6   ,TE0803-01-02CG-1E  ,xczu2cg-sfvc784-1-e        ,trenz.biz:te0803_2cg_1e_tebf0808:part0:2.0 ,2cg_sk     ,qspi_dual_parallel   ,mt25qu256-qspi-x8-dual_parallel    ,PCB:1|B:1|I:1|P:3a|R:2GB
#7   ,TE0803-01-03EG-1E  ,xczu3eg-sfvc784-1-e        ,trenz.biz:te0803_3eg_1e:part0:1.0          ,3eg        ,qspi_dual_parallel   ,mt25qu256-qspi-x8-dual_parallel    ,PCB:1|B:1|I:1|P:2 |R:2GB
#8   ,TE0803-01-03EG-1E  ,xczu3eg-sfvc784-1-e        ,trenz.biz:te0803_3eg_1e_tebf0808:part0:2.0 ,3eg_sk     ,qspi_dual_parallel   ,mt25qu256-qspi-x8-dual_parallel    ,PCB:1|B:1|I:1|P:2a|R:2GB
#9   ,TE0803-01-03CG-1E  ,xczu3cg-sfvc784-1-e        ,trenz.biz:te0803_3cg_1e:part0:1.0          ,3cg        ,qspi_dual_parallel   ,mt25qu256-qspi-x8-dual_parallel    ,PCB:1|B:1|I:1|P:3 |R:2GB
#10  ,TE0803-01-03CG-1E  ,xczu3cg-sfvc784-1-e        ,trenz.biz:te0803_3cg_1e_tebf0808:part0:2.0 ,3cg_sk     ,qspi_dual_parallel   ,mt25qu256-qspi-x8-dual_parallel    ,PCB:1|B:1|I:1|P:3a|R:2GB
